"station"	"variable"	"technique"	"periodicity"	"date"	"hour"	"value"	"valid"
"28791889"	98	2	2	2016-07-11	1	0	TRUE
"28792401"	38	2	2	2016-07-11	1	2	TRUE
"28792406"	48	2	2	2016-07-11	1	0.1	TRUE
"28792407"	8	2	2	2016-07-11	1	1	TRUE
"28792408"	8	2	2	2016-07-11	1	8	TRUE
"28792409"	47	2	2	2016-07-11	1	9	TRUE
"28792410"	47	2	2	2016-07-11	1	14	TRUE
"28792412"	8	2	2	2016-07-11	1	9	TRUE
"28792414"	6	2	2	2016-07-11	1	74	TRUE
"28792420"	59	2	2	2016-07-11	1	0.2	TRUE
"28792430"	59	2	2	2016-07-11	1	0.1	TRUE
"28792435"	59	2	2	2016-07-11	1	0.1	TRUE
"28792442"	2	2	2	2016-07-11	1	1.16	TRUE
"28792443"	2	2	2	2016-07-11	1	1.12	TRUE
"28792444"	2	2	2	2016-07-11	1	0.04	TRUE
"28792480"	98	2	2	2016-07-11	1	1	TRUE
"28792481"	98	2	2	2016-07-11	1	1.3	TRUE
"28792482"	98	2	2	2016-07-11	1	84	TRUE
"28792483"	98	2	2	2016-07-11	1	28.9	TRUE
"28792486"	98	2	2	2016-07-11	1	37	TRUE
"28792487"	98	2	2	2016-07-11	1	940	TRUE
"28792488"	98	2	2	2016-07-11	1	1	TRUE
"28792489"	98	2	2	2016-07-11	1	0	TRUE
"28792707"	8	2	2	2016-07-11	1	5	TRUE
"28792708"	8	2	2	2016-07-11	1	67	TRUE
"28792712"	8	2	2	2016-07-11	1	74	TRUE
"28792714"	6	2	2	2016-07-11	1	37	TRUE
"28793501"	38	2	2	2016-07-11	1	6	TRUE
"28793506"	48	2	2	2016-07-11	1	0.3	TRUE
"28793507"	8	2	2	2016-07-11	1	9	TRUE
"28793508"	8	2	2	2016-07-11	1	55	TRUE
"28793512"	8	2	2	2016-07-11	1	69	TRUE
"28793514"	6	2	2	2016-07-11	1	47	TRUE
"28793601"	38	2	2	2016-07-11	1	6	TRUE
"28793606"	48	2	2	2016-07-11	1	0.2	TRUE
"28793607"	8	2	2	2016-07-11	1	1	TRUE
"28793608"	8	2	2	2016-07-11	1	27	TRUE
"28793610"	47	2	2	2016-07-11	1	12	TRUE
"28793612"	8	2	2	2016-07-11	1	29	TRUE
"28793689"	98	2	2	2016-07-11	1	0	TRUE
"28793801"	38	2	2	2016-07-11	1	1	TRUE
"28793807"	8	2	2	2016-07-11	1	2	TRUE
"28793808"	8	2	2	2016-07-11	1	30	TRUE
"28793809"	47	2	2	2016-07-11	1	15	TRUE
"28793810"	47	2	2	2016-07-11	1	21	TRUE
